dataset,corruption,method,ckpt_role,class_name,AP50,mAP50
RSAR,clean,A,source,ship,0.776,0.5313997864723206
RSAR,clean,A,source,aircraft,0.622,0.5313997864723206
RSAR,clean,A,source,car,0.784,0.5313997864723206
RSAR,clean,A,source,tank,0.173,0.5313997864723206
RSAR,clean,A,source,bridge,0.395,0.5313997864723206
RSAR,clean,A,source,harbor,0.438,0.5313997864723206
RSAR,chaff,A,source,ship,0.679,0.4719308912754059
RSAR,chaff,A,source,aircraft,0.601,0.4719308912754059
RSAR,chaff,A,source,car,0.693,0.4719308912754059
RSAR,chaff,A,source,tank,0.168,0.4719308912754059
RSAR,chaff,A,source,bridge,0.368,0.4719308912754059
RSAR,chaff,A,source,harbor,0.323,0.4719308912754059
RSAR,point_target,A,source,ship,0.747,0.5158401131629944
RSAR,point_target,A,source,aircraft,0.6,0.5158401131629944
RSAR,point_target,A,source,car,0.776,0.5158401131629944
RSAR,point_target,A,source,tank,0.169,0.5158401131629944
RSAR,point_target,A,source,bridge,0.378,0.5158401131629944
RSAR,point_target,A,source,harbor,0.425,0.5158401131629944
RSAR,noise_suppression,A,source,ship,0.466,0.16340675950050354
RSAR,noise_suppression,A,source,aircraft,0.051,0.16340675950050354
RSAR,noise_suppression,A,source,car,0.0,0.16340675950050354
RSAR,noise_suppression,A,source,tank,0.001,0.16340675950050354
RSAR,noise_suppression,A,source,bridge,0.346,0.16340675950050354
RSAR,noise_suppression,A,source,harbor,0.116,0.16340675950050354
RSAR,smart_suppression,A,source,ship,0.419,0.14372646808624268
RSAR,smart_suppression,A,source,aircraft,0.021,0.14372646808624268
RSAR,smart_suppression,A,source,car,0.007,0.14372646808624268
RSAR,smart_suppression,A,source,tank,0.008,0.14372646808624268
RSAR,smart_suppression,A,source,bridge,0.298,0.14372646808624268
RSAR,smart_suppression,A,source,harbor,0.11,0.14372646808624268
RSAR,gaussian_white_noise,A,source,ship,0.775,0.5281371474266052
RSAR,gaussian_white_noise,A,source,aircraft,0.613,0.5281371474266052
RSAR,gaussian_white_noise,A,source,car,0.783,0.5281371474266052
RSAR,gaussian_white_noise,A,source,tank,0.174,0.5281371474266052
RSAR,gaussian_white_noise,A,source,bridge,0.399,0.5281371474266052
RSAR,gaussian_white_noise,A,source,harbor,0.426,0.5281371474266052
RSAR,am_noise_horizontal,A,source,ship,0.285,0.2062060832977295
RSAR,am_noise_horizontal,A,source,aircraft,0.091,0.2062060832977295
RSAR,am_noise_horizontal,A,source,car,0.448,0.2062060832977295
RSAR,am_noise_horizontal,A,source,tank,0.094,0.2062060832977295
RSAR,am_noise_horizontal,A,source,bridge,0.159,0.2062060832977295
RSAR,am_noise_horizontal,A,source,harbor,0.16,0.2062060832977295
RSAR,am_noise_vertical,A,source,ship,0.358,0.19074364006519318
RSAR,am_noise_vertical,A,source,aircraft,0.016,0.19074364006519318
RSAR,am_noise_vertical,A,source,car,0.429,0.19074364006519318
